Indicateur,Objectif_2025,Moyens_mesure
Taux de réduction de la fracture numérique,Réduire de 30% l'illectronisme,Enquête annuelle INSEE
Nombre d'entreprises digitalisées,1000 TPE/PME accompagnées,Suivi CCI/CTM
Nombre de personnes formées,5000 personnes formées/an,Registres formations
Taux d'équipement numérique,80% des foyers équipés,Études équipement
Nombre d'emplois créés,200 emplois directs créés,Déclarations URSSAF
Économies réalisées (reconditionnement),500 000 € économisés/an,Factures matériel
Couverture territoriale,90% du territoire couvert,Cartographie services
Satisfaction des usagers,85% de satisfaction,Enquêtes satisfaction
Autonomie financière des structures,60% d'autofinancement,Bilans financiers
Partenariats public-privé actifs,20 partenariats actifs,Registre conventions
